"C-CodigoCliente";"C-TipoCliente";"C-Sucursal";"A-Equipo";"A-Sector";"PC-CostoAccesorios";"PC-CostoAlquiler";"PC-CostoCCC";"PC-CostoReactivos";"PC-CostoServicioTecnico";"PC-CostoTotal";"PC-TotalDeterminaciones";"PC-ImporteAccesorios";"PC-ImporteAlquiler";"PC-ImporteCCC";"PC-ImporteReactivos";"PC-ImporteServicioTecnico";"PC-UtilidadAccesorios";"PC-UtilidadAlquiler";"PC-UtilidadCCC";"PC-UtilidadReactivos";"PC-UtilidadServicioTecnico";"PC-UtilidadPropuesta";"PC-Ganado"
"585";"Publico";"3";"245";"Hematología";"72371,9999904";"138263,13";"113919,20099999999";"58005,948000000004";"27652,62";"444597,93";"14000";"72372";"138263,13";"136703,04";"69607,14";"27652,62";"1";"1";"1,2";"1,2";"1";"1,4990447661328516";"1"
"585";"Publico";"3";"269";"Inmunología";"64506,9999904";"213679,38";"66849,354";"101780,67459999998";"42735,87";"523278,27";"1900";"64507";"213679,38";"80219,22";"122136,8";"42735,87";"1";"1";"1,2";"1,2";"1";"1,2517742233018772";"1"
"585";"Publico";"3";"357";"POC/Coagulación";"0";"22624,86";"0";"385296,48";"7918,68";"473634,49";"5400";"0";"22624,86";"0";"443090,95";"7918,68";"1";"1";"1,15";"1,15";"1";"1,5000000316699909";"1"
"585";"Publico";"3";"245";"Hematología";"55055";"276526,26";"230128,206";"169813,21500000003";"96784,2";"968286,39";"23200";"55055";"276526,26";"310673,08";"229247,85";"96784,2";"1";"1";"1,35";"1,35";"1";"1,6200581937333642";"1"
"585";"Publico";"3";"336";"Endocrinología";"55055";"226248,77999999997";"178881,318";"444004,0429";"79187,1";"1201386,11";"5600";"55055";"226248,78";"241489,78";"599405,45";"79187,1";"1";"1";"1,35";"1,35";"1";"1,4085144699295553";"1"
"626";"Publico";"3";"353";"POC/Urgencia";"0";"29304,6";"867,5699999999999";"290746,665";"10256,64";"433240,45";"1775";"0";"29304,6";"1171,22";"392507,99";"10256,64";"1";"1";"1,35";"1,35";"1";"2,1999999458117023";"0"
"626";"Publico";"3";"303";"Endocrinología";"14217,5";"183153,78";"134182,22400000002";"259833,24619999994";"64103,82";"793395,99";"3400";"14217,5";"183153,78";"181146";"350774,89";"64103,82";"1";"1";"1,35";"1,35";"1";"1,3741387617572605";"0"
"633";"Publico";"3";"303";"Endocrinología";"11797,5";"202007,82";"91350,5472";"336810,7116";"70702,74";"862525,76";"4100";"11797,5";"202007,82";"123323,24";"454694,46";"70702,74";"1";"1";"1,35";"1,35";"1";"1,5268574704820923";"1"
"585";"Publico";"3";"245";"Hematología";"93283,73999999999";"296278,14";"237095,72479999997";"185375,1271966";"103697,34";"1063594,87";"21001";"93283,74";"296278,14";"320079,22";"250256,43";"103697,34";"1";"1";"1,35";"1,35";"1";"1,7124645512052439";"1"
"585";"Publico";"3";"336";"Endocrinología";"64813,0000001";"226248,77999999997";"189316,21279999998";"528805,9006999999";"79187,1";"1339713,73";"5800";"64813";"226248,78";"255576,88";"713887,97";"79187,1";"1";"1";"1,35";"1,35";"1";"1,4990649791802912";"1"
"641";"Publico";"3";"234";"Hemostasia";"68607";"206856";"261619,44819999998";"302397,5129999999";"72399,6";"996482,11";"3681";"68607";"206856";"300862,37";"347757,14";"72399,6";"1";"1";"1,15";"1,15";"1";"1,3399999925738757";"1"
"585";"Publico";"3";"336";"Endocrinología";"87720,9999941";"226248,77999999997";"235137,84799999997";"589246,4292000001";"79187,1";"1506075,66";"5700";"87721";"226248,78";"317436,1";"795482,68";"79187,1";"1";"1";"1,35";"1,35";"1";"1,5272299654181518";"1"
"585";"Publico";"3";"245";"Hematología";"133720,488";"355533,77999999997";"295178,55620000005";"202968,909";"124436,82";"1286190,18";"21000";"133720,49";"355533,78";"398491,06";"274008,03";"124436,82";"1";"1";"1,35";"1,35";"1";"1,6993126164281551";"1"
"633";"Publico";"3";"303";"Endocrinología";"99199,99991";"134671,88999999998";"82151,982";"245057,83940000003";"47135,16";"657298,35";"2100";"99200";"134671,89";"94474,78";"281816,52";"47135,16";"1";"1";"1,15";"1,15";"1";"1,6152987452349459";"1"
"3997";"Privado";"3";"306";"Software";"0";"54000";"0";"0";"18900";"72900";"3";"0";"54000";"0";"0";"18900";"1";"1";"1,15";"1,15";"1";"1,7242798353909465";"1"
"3997";"Privado";"3";"217";"Química Clínica";"277695";"395037,51";"195855,4642";"452587,5409";"138263,13";"1556705,09";"31374";"277695";"395037,51";"225233,78";"520475,67";"138263,13";"1";"1";"1,15";"1,15";"1";"1,1499999910166998";"1"
"3997";"Privado";"3";"275";"Endocrinología";"0";"287300,01";"385455,3615";"3528360";"100554,99";"4888742,66";"12000";"0";"287300,01";"443273,66";"4057614";"100554,99";"1";"1";"1,15";"1,15";"1";"1,3623728917004692";"1"
"4880";"Privado";"3";"270";"Inmunología";"0";"628468,74";"328322,06549999997";"4410450";"219964,05";"6298020,67";"15000";"0";"628468,74";"377570,38";"5072017,5";"219964,05";"1";"1";"1,15";"1,15";"1";"1,295823225680204";"1"
"641";"Publico";"3";"234";"Hemostasia";"76230";"229839,99";"301254,91000000003";"138224,6525";"80444,01";"891915,5";"3396";"76230";"229839,99";"346443,15";"158958,35";"80444,01";"1";"1";"1,15";"1,15";"1";"1,3000000112118244";"1"
"633";"Publico";"3";"303";"Endocrinología";"87099,99991";"134671,88999999998";"91279,98";"272286,4815";"47135,159999999996";"687008,48";"2100";"87100";"134671,89";"104971,98";"313129,45";"47135,159999999996";"1";"1";"1,15";"1,15";"1";"1,7308973886319425";"1"
"3997";"Privado";"3";"353";"POC/Urgencia";"0";"21547,5";"90,75";"73507,5";"7541,64";"113727,12";"525";"0";"21547,5";"104,36";"84533,62";"7541,64";"1";"1";"1,15";"1,15";"1";"1,5745584694310382";"1"
"2975";"Privado";"4";"336";"Endocrinología";"36035,4456";"226248,77999999997";"157417,128";"433347,94800000003";"45249,78";"1016452,11";"15100";"36035,45";"226248,78";"188900,56";"520017,54";"45249,78";"1";"1";"1,2";"1,2";"1";"1,4699999990123";"1"
"972";"Publico";"4";"336";"Endocrinología";"36035,4456";"226248,78";"58309,416";"88640,244";"45249,78";"483873,6";"3900";"36035,45";"226248,78";"69971,3";"106368,29";"45249,78";"1";"1";"1,2";"1,2";"1";"1,2910211905650568";"1"
"968";"Publico";"4";"331";"POC/Gases";"0";"32321,28";"64523,25";"257004";"6464,28";"456770,99";"1800";"0";"32321,28";"83880,23";"334105,2";"6464,28";"1";"1";"1,3";"1,3";"1";"1,4000000087571236";"0"
"994";"Publico";"4";"15";"Inmunología";"0";"261056,34";"7129,32";"260053,2";"52211,28";"660604,9";"2160";"0";"261056,34";"9268,12";"338069,16";"52211,28";"1";"1";"1,3";"1,3";"1";"3,2496216725004614";"1"
"938";"Privado";"4";"306";"Software";"197499,9998114";"108000";"5018,112";"19602";"6";"337512,14";"0";"197500";"108000";"6523,54";"25482,6";"6";"1";"1";"1,3";"1,3";"1";"1,3520110121075941";"0"
"931";"Publico";"4";"98";"Química Clínica";"35271,5";"184350,84";"56721,774999999994";"0";"64522,8";"357883,44";"0";"35271,5";"184350,84";"73738,3";"0";"64522,8";"1";"1";"1,3";"1,3";"1";"1,0059141043240223";"1"
"988";"Publico";"4";"297";"Quimica Clinica";"239939,99557";"648911,8799999999";"526661,6419856";"807545,8325000001";"227119,19999999998";"2983861,508039855";"190425";"239939,99557";"648911,88";"737326,286223248";"1130564,1462466072";"227119,19999999998";"1";"1";"1,4";"1,4";"1";"1,66";"0"
"988";"Publico";"4";"297";"Quimica Clinica";"313797,9955803";"484818,72";"213274,55159999998";"1943601,0506";"169686,6";"3987929,16";"306394";"313798";"484818,72";"298584,37";"2721041,47";"169686,6";"1";"1";"1,4";"1,4";"1";"1,3999999989969731";"0"
